Ore Name,ItemStack,Item ID,Wildcard,Mod
antiBlock,1xtile.antiBlock@0,chisel:antiBlock,false,chisel
arrowGtPlasticAdamant,1xgt.metaitem.02@26319,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticAdamantine,1xgt.metaitem.02@26319,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticAdamantium,1xgt.metaitem.02@26319,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticAluminium,1xgt.metaitem.02@26019,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticAmber,1xgt.metaitem.02@26514,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticAmethyst,1xgt.metaitem.02@26509,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticAnyBronze,1xgt.metaitem.02@26300,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticAnyIron,1xgt.metaitem.02@26032,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticAnyIron,1xgt.metaitem.02@26304,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticAnyIron,1xgt.metaitem.02@26307,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticAstralSilver,1xgt.metaitem.02@26333,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticBeryllium,1xgt.metaitem.02@26008,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticBismuth,1xgt.metaitem.02@26090,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticBismuthBronze,1xgt.metaitem.02@26353,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticBlackBronze,1xgt.metaitem.02@26352,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticBlackSteel,1xgt.metaitem.02@26334,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticBlaze,1xgt.metaitem.02@26801,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticBlueSteel,1xgt.metaitem.02@26349,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticBlueTopaz,1xgt.metaitem.02@26513,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticBrass,1xgt.metaitem.02@26301,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticBronze,1xgt.metaitem.02@26300,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticCarbon,1xgt.metaitem.02@26010,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticCertusQuartz,1xgt.metaitem.02@26516,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticChargedCertusQuartz,1xgt.metaitem.02@26517,gregtech:gt.metaitem.02,false,gregtech
